59,1,5,1,13,0,14,0,1,5,5,1,8,1,2,1,1,2,,1,/////,c-d-e-f,B:01;f=2(R�ckseite)
59,1,5,1,13,0,14,15,1,3,5,1,8,3,2,1,2,2,,1,/////,,B:01;f=2(R�ckseite)
53,2,5,1,13,0,18,20,0,0,,,,9,1,,1,,,17,/////,,kA
53,1,5,1,14,2,8,40,6,,0,0,2,8,2,3,2,,0,17,/////,,kA/kE/im Schneefall aus Sc
92,1,5,1,14,0,11,40,1,10,9,7,9,2,2,1,,1,,35,/////,,kA kE UH UB
92,1,5,1,14,0,11,40,1,9,9,7,9,3,2,3,,1,,35,/////,,kA kE UH UB
53,1,5,1,16,0,8,20,4,7,0,0,,1,1,1,1,,,17,/////,g-h-a,kA/kE
72,1,5,1,16,0,9,14,4,9,0,0,0,1,1,1,1,,,6,/////,a-b/f-g-h,auf Strasse & Feld
58,1,5,1,16,2,9,15,4,3,0,0,0,1,1,1,1,,,2,/////,,
68,1,5,1,16,0,9,45,4,1,0,0,0,1,1,1,1,,,8,/////,h,
68,1,5,1,16,0,9,45,4,1,0,0,0,12,0,1,1,,,8,/////,g,
13,1,5,1,16,0,13,5,1,20,4,1,0,3,2,1,2,,,5,/////,,UH 13.15-14
13,1,5,1,16,0,13,50,1,7,6,1,0,1,1,1,1,,,5,/////,d/f,UH 14.10-14.35
13,1,5,1,16,0,13,50,1,16,6,1,0,2,2,1,2,,,5,/////,,UH 14.10-14.40
13,1,5,1,16,0,14,0,1,1,6,1,0,11,0,1,1,,,5,/////,,
56,1,5,1,16,0,14,0,1,3,4,1,0,1,2,1,1,,,2,/////,b,kE
3,1,5,1,16,2,14,35,1,2,2,1,0,2,1,1,1,,,11,/////,,
53,1,5,1,16,0,14,45,1,5,,5,0,2,1,1,1,,,17,/////,,kA/kE/UB
58,1,5,1,16,0,14,45,1,2,3,1,0,3,1,1,1,,,2,/////,,UH
53,1,5,1,16,0,14,50,1,3,,5,0,10,1,0,2,,,17,/////,,kA/kE
22,1,5,1,16,0,16,0,1,2,6,1,,3,2,1,1,,,5,/////,,
46,1,5,1,16,2,16,10,1,1,1,1,8,3,1,1,1,0,,8,/////,,
15,1,5,1,16,0,16,25,1,2,1,2,0,8,1,3,2,2,,8,/////,,Cc ist eine Flugzeugspur.
32,1,5,1,17,0,8,20,0,1,,,,2,2,1,1,,,8,/////,,
68,1,5,1,17,2,8,25,1,0,1,1,8,2,2,0,1,1,,8,/////,,
55,1,5,1,17,2,8,40,1,1,1,5,8,3,1,1,1,,,8,/////,,
29,1,5,1,17,0,10,10,1,1,1,1,8,2,1,1,1,,,8,/////,,
68,1,5,1,17,2,10,45,1,0,1,2,8,2,1,1,1,1,,8,/////,,in Kondensstreifen
38,1,5,1,17,0,13,0,1,3,5,5,0,11,1,1,1,,,11,/////,,kA
38,1,5,1,17,0,13,10,1,1,5,5,0,21,1,1,1,,,11,/////,,d/links
38,1,5,1,17,0,13,20,1,1,5,5,0,3,1,1,1,,,11,/////,,
3,1,5,1,17,0,13,45,1,3,2,1,0,4,3,1,2,,,11,/////,,beobachtet von Norbert Reich
3,1,5,1,17,0,14,15,1,5,2,1,0,3,2,1,1,,,11,/////,,beobachtet von Norbert Reich
44,1,5,1,17,0,16,5,1,1,1,1,0,2,1,1,1,,,11,/////,,
3,2,5,1,17,2,22,40,1,1,1,1,0,2,2,0,1,,,11,/////,,
3,2,5,1,17,2,22,40,1,1,1,1,0,3,1,0,1,,,11,/////,,
3,1,5,1,18,2,8,40,2,2,6,3,8,2,0,4,1,,,11,/////,,
2,1,5,1,18,0,10,30,1,2,,5,9,1,1,1,1,2,10,8,/////,b-c-d,
53,1,5,1,18,2,13,20,1,1,,,,2,1,1,1,,,17,/////,,kA/kE
46,1,5,1,18,0,13,35,2,4,7,5,2,1,1,1,1,0,,8,/////,b-c-d-e-f,kA
4,1,5,1,18,2,14,45,2,2,8,3,3,1,1,4,1,1,4,8,/////,b-c-d-e-f,
4,1,5,1,18,2,14,45,2,2,8,3,3,5,1,4,1,1,4,8,/////,,
15,1,5,1,18,0,15,25,1,2,8,3,8,1,0,3,1,1,6,8,/////,c-d,
15,2,5,1,18,0,17,50,1,3,8,3,8,1,1,0,2,1,3,8,/////,,
38,2,5,1,18,0,18,45,1,2,8,3,0,1,0,0,2,2,6,11,/////,,kA
51,2,5,1,18,0,18,45,1,2,8,3,0,1,0,0,2,2,3,11,/////,,kA
95,1,5,1,19,0,8,45,1,29,8,3,8,1,2,3,1,1,,24,/////,b-c-d-e-f,
95,1,5,1,19,0,9,20,1,25,8,3,8,11,1,4,1,1,,24,/////,,
53,1,5,1,19,0,9,30,1,2,9,3,2,1,1,1,1,,,17,/////,b-c-d,kA/kE
95,1,5,1,19,0,11,30,1,1,8,3,8,3,2,3,,1,,24,/////,,
95,1,5,1,19,0,11,32,1,1,8,3,8,13,2,0,,1,,24,/////,,
95,1,5,1,19,0,11,35,1,1,8,3,8,2,2,3,,1,,24,/////,,
95,1,5,1,19,0,11,45,1,11,8,3,8,5,2,3,1,1,,24,/////,,
38,1,5,1,19,0,12,30,1,1,,3,5,1,1,1,1,,,11,/////,c-d-e,kA kE Wolkenl�cke
38,1,5,1,19,0,12,30,1,1,,3,5,5,1,1,1,,,11,/////,,kA kE Wolkenl�cke
95,1,5,1,19,0,13,10,1,2,8,3,8,12,1,3,1,1,,24,/////,c-d-e,
3,1,5,1,19,0,13,35,2,1,9,3,2,1,1,4,1,,,11,/////,c-d-e,
59,2,5,1,19,0,23,10,0,3,5,3,1,1,2,0,1,3,9,1,/////,c-d-e-f,B:03
3,1,5,1,21,0,9,40,7,1,0,0,8,8,1,3,2,,,11,/////,,
57,1,5,1,21,0,10,0,0,11,,,,1,0,1,1,,,2,/////,b-c/f,
92,1,5,1,21,0,11,10,1,1,9,7,9,3,2,1,,,5,35,/////,,
3,1,5,1,21,0,15,55,7,1,0,0,8,2,1,4,1,,,11,/////,,
95,2,5,1,21,0,17,45,1,3,7,3,8,1,2,0,2,2,,24,/////,,
3,2,5,1,21,2,20,30,1,2,9,3,2,1,1,4,2,,2,11,/////,,
73,2,5,1,21,0,21,40,1,1,6,1,0,1,2,1,2,1,6,7,/////,,kA
58,2,5,1,21,2,22,15,1,1,4,3,6,1,1,0,1,4,0,2,/////,c-d-e-f-g-h,
90,1,5,1,22,0,10,55,2,3,8,5,7,1,1,1,1,,,35,/////,b-c-d,kA
90,1,5,1,22,0,10,55,2,3,8,5,7,8,2,3,1,,,35,/////,,kA
56,1,5,1,22,0,15,10,0,2,4,1,0,1,0,1,1,,10,2,/////,f,kA kE
13,1,5,1,22,0,16,15,1,1,3,1,5,2,2,1,2,,3,5,/////,,
72,2,5,1,22,0,18,46,1,10,8,1,5,1,1,0,1,2,,6,/////,c-d-e-f-g,UH
38,1,5,1,23,0,9,5,1,0,1,1,8,3,1,1,1,1,,11,/////,,DD:2min
51,1,5,1,23,0,9,5,1,0,1,1,8,3,1,1,1,1,,11,/////,,D:2�
53,1,5,1,23,0,14,45,7,,0,0,2,10,1,3,2,,0,17,/////,,kA/kE
4,2,5,1,23,0,17,53,1,1,8,3,9,1,0,0,1,2,1,8,/////,b-c-d-e-f,kA
4,2,5,1,23,0,17,53,1,0,8,3,9,2,2,4,2,2,1,8,/////,,4�-Schweif
4,2,5,1,23,0,17,55,1,0,8,3,9,3,1,0,1,2,1,8,/////,,2� au�erhalb EE01
3,2,5,1,23,2,19,55,1,21,8,3,7,1,2,0,2,,4,11,/////,,
44,2,5,1,23,0,22,15,2,1,8,3,0,1,1,0,2,,,11,/////,,kA
68,2,5,1,24,0,6,0,7,0,0,0,8,10,1,0,1,2,1,8,/////,,vor Schneefall
3,1,5,1,24,0,11,10,1,6,3,3,2,1,1,1,1,,,11,/////,b-c-d-e-f,
3,1,5,1,24,0,11,10,1,3,3,3,2,5,2,1,1,,,11,/////,,
3,1,5,1,24,0,11,15,1,6,3,3,2,4,2,4,1,,,11,/////,,
68,1,5,1,24,2,12,30,1,1,6,3,6,11,1,1,1,5,1,8,/////,,m�gl.-weise  auch virga
68,1,5,1,24,2,12,35,0,0,6,3,6,3,0,1,1,5,1,8,/////,,m�gl.-weise an virga
3,1,5,1,24,0,15,5,0,1,,,6,3,2,1,1,,,11,/////,,
3,1,5,1,24,0,15,40,0,1,,,6,2,1,4,1,,,11,/////,,
62,2,5,1,24,0,17,50,0,2,,,5,10,1,0,1,,,10,/////,,kA kE
95,2,5,1,24,0,17,50,1,20,6,3,0,1,3,0,2,2,7,24,/////,,UB
53,2,5,1,24,1,20,50,1,,,,,1,1,,1,,,17,/////,c-d,kA/kE/Nieder�blarn
44,2,5,1,24,0,23,30,2,3,8,3,7,1,1,0,2,,,11,/////,,
4,1,5,1,25,2,9,25,6,1,0,0,2,10,0,0,1,,0,8,/////,,kA kE durch Schwei�glas
53,1,5,1,25,1,15,50,0,1,,,,3,1,1,1,,,17,/////,,kA/kE/Haus im Ennstal
58,1,5,1,25,0,16,20,7,2,0,0,2,8,3,4,2,,0,2,/////,,
53,5,5,1,25,1,18,30,6,,0,0,,8,1,3,2,,0,17,/////,,kA/kE/im Schneefall
59,2,5,1,26,0,23,45,1,9,6,3,2,1,2,0,2,8,,1,/////,,B:05;f=8(mit Wolkenfelder einer Okklusion)
38,1,5,1,27,0,9,50,6,2,0,0,0,1,1,1,1,,0,11,/////,c-d-e,Polarschnee
38,1,5,1,27,0,9,50,6,3,0,0,0,2,1,1,2,,0,11,/////,,Polarschnee
38,1,5,1,27,0,9,50,6,1,0,0,0,3,0,1,2,,0,11,/////,,Polarschnee
38,1,5,1,27,0,9,50,6,2,0,0,0,5,1,1,1,,0,11,/////,,Polarschnee
38,1,5,1,27,0,9,50,6,5,0,0,0,8,1,0,2,,0,11,/////,,Polarschnee
38,1,5,1,27,0,9,50,6,4,0,0,0,9,1,0,2,,0,11,/////,,Polarschnee
38,1,5,1,27,0,9,50,6,5,0,0,0,11,1,1,2,,0,11,/////,,Polarschnee
73,1,5,1,27,2,10,25,1,15,6,1,0,1,0,0,1,2,,7,/////,b-c-d-e-f,
38,1,5,1,27,0,11,20,6,1,0,0,0,8,1,0,2,,0,11,/////,,Polarschnee
38,1,5,1,27,0,11,20,6,1,0,0,0,9,1,0,2,,0,11,/////,,Polarschnee
55,1,5,1,27,1,12,0,1,1,8,5,5,1,1,1,1,,,8,/////,b-c-d-e-f,Dresden
55,1,5,1,27,1,12,0,1,1,8,5,5,3,1,1,1,,,8,/////,,Dresden
53,1,5,1,27,1,13,0,6,1,0,0,,2,0,1,1,,0,17,/////,,kA/kE/Schladming-Hochwurzen
53,1,5,1,27,1,13,0,6,1,0,0,,11,1,1,1,,0,17,/////,,kA/kE/Schladming-Hochwurzen
51,2,5,1,28,0,5,45,6,1,0,0,0,1,0,0,1,,,11,/////,c-d-e,kA
38,1,5,1,28,0,8,45,6,11,0,0,1,1,1,1,1,,,11,/////,b-c-d-e-f,Eisnebel
53,1,5,1,28,1,9,15,1,,,,,1,1,1,1,,,17,/////,b-c-d-e-f,kA/kE/Nieder�blarn
4,1,5,1,28,2,9,25,6,3,0,0,4,8,1,3,2,,0,8,/////,,Eisnadelfall
4,1,5,1,28,2,9,25,6,3,0,0,4,9,1,3,1,,0,8,/////,,Eisnadelfall
38,1,5,1,28,0,9,25,6,10,0,0,0,2,1,1,2,,,11,/////,,Eisnebel
38,1,5,1,28,0,9,25,6,8,0,0,0,3,1,1,2,,,11,/////,,Eisnebel
38,1,5,1,28,0,9,25,6,10,0,0,0,11,1,1,2,,,11,/////,,Eisnebel
4,1,5,1,28,2,9,54,6,1,0,0,4,3,1,4,2,,0,8,/////,,Eisnadelfall
53,1,5,1,28,1,10,0,1,36,,,,1,1,1,1,,,17,/////,b-c-d-e-f-g,kA/kE/UB/Schladming
53,1,5,1,28,1,10,45,6,26,0,0,,44,1,0,2,,0,17,/////,,kA/kE/UH/UB/Schladming/z.T. Eisnebel an H�ngen in 1500m H�he
4,1,5,1,28,2,13,30,6,1,0,0,4,11,1,1,1,,0,8,/////,,Eisnadelfall
53,1,5,1,28,1,14,30,1,1,,,,12,0,1,1,,,17,/////,c-d-e,kA/kE/Schladming
51,1,5,1,28,1,15,15,6,2,0,0,0,2,1,1,1,,,11,/////,,Grafing-Rosenheim
51,1,5,1,28,1,15,15,6,2,0,0,0,3,1,1,2,,,11,/////,,mit 10� langen Schweif
51,1,5,1,28,1,15,20,6,1,0,0,0,1,1,4,1,,,11,/////,b-c-d-e-f,Grafing-Rosenheim
51,1,5,1,28,1,15,25,6,1,0,0,0,8,1,0,2,,,11,/////,,nahe Rosenheim
38,1,5,1,28,0,15,30,6,5,0,0,0,1,1,1,1,,,11,/////,c-d-e,Eisnebel
51,1,5,1,28,0,15,40,6,4,0,0,0,1,2,4,1,,,11,/////,b-c-d-e-f,
53,1,5,1,28,1,16,0,1,,,,,5,1,1,1,,,17,/////,,kA/kE/Schladming
53,1,5,1,28,1,16,35,1,,,,,8,1,4,2,,,17,/////,,kA/kE/Nieder�blarn
44,1,5,1,29,0,7,30,0,3,1,1,0,8,2,1,1,,,11,/////,,
95,1,5,1,29,0,7,30,1,9,3,3,7,1,1,3,1,6,1,24,/////,b-c-d-e-f,
95,1,5,1,29,0,7,35,1,3,3,3,7,3,2,3,,6,1,24,/////,,
95,1,5,1,29,0,7,36,1,2,3,3,7,13,2,0,1,6,1,24,/////,,
95,1,5,1,29,0,7,38,1,2,3,3,7,2,1,3,,6,1,24,/////,,
38,1,5,1,29,0,9,10,6,6,0,0,0,8,1,0,2,,0,11,/////,,Polarschnee
38,1,5,1,29,0,9,10,6,6,0,0,0,9,1,0,2,,0,11,/////,,Polarschnee
51,1,5,1,29,0,9,10,6,6,0,0,0,10,1,0,2,,0,11,10420,,
13,1,5,1,29,1,10,45,1,3,2,1,8,2,2,1,2,1,,5,/////,,Herne
13,1,5,1,29,1,11,5,1,1,2,1,8,1,1,1,1,1,,5,/////,c,Herne
64,2,5,1,29,0,21,42,7,2,0,0,2,9,2,0,2,1,1,7,/////,,Schweif sehr breit
68,5,5,1,30,0,5,45,5,0,0,0,,12,1,0,1,,,8,/////,h,Halofragment im Schnee unter Stra�enlampe
95,1,5,1,30,0,7,50,1,2,2,3,0,1,1,3,1,,,24,/////,b-c-d,
95,1,5,1,30,0,7,53,1,2,2,3,0,2,3,3,,,,24,/////,,
95,1,5,1,30,0,7,54,1,2,2,3,0,13,3,0,1,,,24,/////,,
53,1,5,1,30,0,9,45,6,,0,0,,10,0,3,1,,0,17,/////,,kA/kE/Schnee aus St
53,1,5,1,30,0,9,45,6,5,0,0,,11,0,1,1,,0,17,/////,,kA/kE/UB/Schnee aus St
53,5,5,1,30,0,17,30,6,,0,0,,8,1,4,1,,0,17,/////,,kA/kE/orange/Schnee aus St
53,1,5,2,1,0,14,30,7,,0,0,5,8,0,0,1,,,17,/////,,kA/kE/1
34,1,5,2,2,0,7,40,0,1,9,,1,8,2,4,1,,10,3,/////,,Foto digi
95,1,5,2,2,0,15,50,1,6,4,3,2,1,2,4,1,,,24,/////,c-d-e,
95,1,5,2,2,0,15,51,1,5,4,3,2,5,2,4,1,,,24,/////,,
53,1,5,2,4,0,14,50,7,2,0,0,,9,0,0,2,,0,17,/////,,kA/kE/UB/ev. Fallstreifen
53,1,5,2,4,0,15,0,7,1,0,0,,8,0,0,2,,0,17,/////,,kA/kE/ev. Fallstreifen
53,1,5,2,4,0,15,0,7,1,0,0,,11,0,1,1,,0,17,/////,,kA/kE/ev. Fallstreifen
15,1,5,2,4,0,16,0,2,1,7,2,8,8,1,4,2,,,8,/////,,
2,1,5,2,4,0,16,50,1,3,,3,8,8,2,4,2,,,8,/////,,
95,1,5,2,5,0,7,50,1,41,7,3,0,1,1,3,1,,,24,/////,a-b-c-d-e-f-g,
95,1,5,2,5,0,14,15,1,2,7,3,0,2,1,3,,,,24,/////,,
34,1,5,2,5,0,16,30,1,0,1,1,0,2,1,1,1,,,3,/////,,
15,1,5,2,5,0,16,52,1,0,1,2,0,8,1,3,2,,,8,/////,,Cc ist eine Flugzeugspur.
56,1,5,2,5,0,17,10,1,2,4,1,0,8,0,3,,,,2,/////,,kA
3,1,5,2,6,0,9,20,4,2,0,0,0,1,1,4,1,,,11,/////,g-h-a,
38,1,5,2,6,0,10,20,1,1,1,1,8,2,2,1,1,,,11,/////,,
51,1,5,2,6,0,10,20,1,1,1,1,8,2,2,1,1,,,11,/////,,
38,1,5,2,6,0,11,8,1,1,1,2,8,18,1,0,1,,,11,/////,,
51,1,5,2,6,0,11,8,1,1,1,2,8,18,1,0,1,,,11,/////,,
38,1,5,2,6,0,11,30,1,1,1,1,8,1,1,1,1,,,11,/////,c,
51,1,5,2,6,0,11,30,1,1,1,1,8,1,1,1,1,,,11,/////,c,
38,1,5,2,6,0,11,35,1,1,1,1,8,2,1,1,1,,,11,/////,,
51,1,5,2,6,0,11,35,1,1,1,1,8,2,1,1,1,,,11,/////,,
38,1,5,2,6,0,11,37,1,0,1,1,8,3,1,1,1,,,11,/////,,DD:3min
51,1,5,2,6,0,11,37,1,0,1,1,8,3,1,1,1,,,11,/////,,DD:3min
38,1,5,2,6,0,11,53,1,1,1,1,8,2,1,1,1,,,11,/////,,
51,1,5,2,6,0,11,53,1,1,1,1,8,2,1,1,1,,,11,/////,,
38,1,5,2,6,0,12,40,1,9,4,1,8,1,1,1,1,,,11,/////,b-c-d-e,
38,1,5,2,6,0,12,40,1,4,4,1,8,2,1,1,2,,,11,/////,,
38,1,5,2,6,0,12,40,1,5,4,1,8,5,1,1,1,,,11,/////,,
38,1,5,2,6,0,12,40,1,20,4,1,8,11,1,1,1,,,11,/////,,UH 30min
